M,efConstruction,k,efSearch,search_time,accuracy
8,100,5,10,0.00125150203704834,0.8752000000000012
8,100,5,20,0.001168625831604004,0.9576000000000003
8,100,5,50,0.002063675403594971,0.9912000000000002
8,100,5,100,0.00378281307220459,0.9952000000000001
8,100,25,10,0.0010382137298583984,0.38600000000000323
8,100,25,20,0.001582068920135498,0.7800000000000064
8,100,25,50,0.0028561272621154786,0.978879999999999
8,100,25,100,0.003911177158355713,0.9914399999999993
8,100,50,10,0.001119494915008545,0.1965600000000017
8,100,50,20,0.0016623420715332032,0.3969600000000034
8,100,50,50,0.0025341691970825193,0.9556399999999996
8,100,50,100,0.003969105243682861,0.9837200000000005
8,200,5,10,0.0010849719047546387,0.8788000000000014
8,200,5,20,0.0015025715827941895,0.9448000000000003
8,200,5,50,0.0023144545555114746,0.9860000000000002
8,200,5,100,0.003402953624725342,0.9960000000000001
8,200,25,10,0.0011056599617004395,0.38560000000000333
8,200,25,20,0.0014188461303710938,0.7716800000000064
8,200,25,50,0.0025068225860595704,0.976239999999999
8,200,25,100,0.004582412719726562,0.9922399999999995
8,200,50,10,0.001071113109588623,0.19700000000000173
8,200,50,20,0.0014200515747070312,0.39572000000000346
8,200,50,50,0.0022791199684143067,0.9548000000000002
8,200,50,100,0.0036352252960205078,0.9850800000000007
16,100,5,10,0.001665933609008789,0.930400000000001
16,100,5,20,0.0019021592140197755,0.9712000000000007
16,100,5,50,0.0034016923904418945,0.9944000000000002
16,100,5,100,0.004471145153045654,0.9964000000000001
16,100,25,10,0.001576207160949707,0.39488000000000345
16,100,25,20,0.0017692818641662598,0.7928000000000065
16,100,25,50,0.002940852165222168,0.9924799999999998
16,100,25,100,0.004104222774505615,0.9968799999999998
16,100,50,10,0.0012306556701660156,0.19888000000000175
16,100,50,20,0.0018541722297668458,0.3993600000000035
16,100,50,50,0.002963890552520752,0.9844000000000007
16,100,50,100,0.004762786865234375,0.9952400000000005
16,200,5,10,0.001561823844909668,0.9292000000000009
16,200,5,20,0.0019766836166381836,0.9712000000000006
16,200,5,50,0.0029088139533996584,0.9952000000000002
16,200,5,100,0.005021314144134522,0.9968
16,200,25,10,0.0014345722198486328,0.39632000000000345
16,200,25,20,0.0022839198112487792,0.7898400000000063
16,200,25,50,0.0037000436782836914,0.9923999999999995
16,200,25,100,0.0048270120620727535,0.9969599999999997
16,200,50,10,0.0015457363128662108,0.19920000000000176
16,200,50,20,0.0022353787422180176,0.39820000000000344
16,200,50,50,0.003799419403076172,0.9844400000000009
16,200,50,100,0.005371083259582519,0.9952800000000004
32,100,5,10,0.0024517593383789065,0.9656000000000005
32,100,5,20,0.003084489345550537,0.9788000000000003
32,100,5,50,0.004517790794372559,0.9988
32,100,5,100,0.0068807144165039065,1.0
32,100,25,10,0.002501400947570801,0.39872000000000357
32,100,25,20,0.0040446767807006834,0.7868800000000065
32,100,25,50,0.004123370170593262,0.9921599999999995
32,100,25,100,0.006418321132659912,0.9999199999999999
32,100,50,10,0.0027123165130615236,0.20000000000000176
32,100,50,20,0.00335280704498291,0.3999600000000035
32,100,50,50,0.004893714904785156,0.9839200000000002
32,100,50,100,0.0071543869972229,0.9994000000000003
32,200,5,10,0.003321173667907715,0.9504000000000008
32,200,5,20,0.0028076591491699218,0.9688000000000007
32,200,5,50,0.004535253524780273,0.9924000000000001
32,200,5,100,0.007516017913818359,1.0
32,200,25,10,0.0022567877769470216,0.39864000000000344
32,200,25,20,0.0034619183540344238,0.7774400000000059
32,200,25,50,0.005987825870513916,0.9850399999999991
32,200,25,100,0.01314296531677246,0.9999199999999999
32,200,50,10,0.0023990845680236816,0.20000000000000176
32,200,50,20,0.0029108924865722655,0.39992000000000355
32,200,50,50,0.005017127990722656,0.9773999999999998
32,200,50,100,0.0060693731307983395,0.9994400000000003
