dimension,k,distance,mean_time,std_time,accuracy
2,1,cosine,0.8111900753445096,0.24074822550339503,0.7111111111111111
2,1,euclidean,0.9123325347900391,0.30724380919555205,0.7777777777777778
2,1,manhattan,0.672239727444119,0.08102114877835219,0.7555555555555555
2,3,cosine,0.7117430369059244,0.09548206646345743,0.6888888888888889
2,3,euclidean,1.0331153869628906,0.2739885117478096,0.7555555555555555
2,3,manhattan,0.6747563680013021,0.07905499717029187,0.7555555555555555
2,5,cosine,0.6700939602322049,0.01898512699500326,0.6888888888888889
2,5,euclidean,0.6612671746148003,0.09832383300001124,0.8
2,5,manhattan,0.6214459737141927,0.037172437811099766,0.8222222222222222
2,10,cosine,0.6807539198133681,0.08526467963264109,0.7333333333333333
2,10,euclidean,0.7855574289957682,0.21470070277093614,0.7777777777777778
2,10,manhattan,0.6064520941840278,0.09115651866844997,0.7777777777777778
3,1,cosine,0.6713549296061198,0.03186356888566448,0.9111111111111111
3,1,euclidean,0.6514072418212891,0.02515717108326103,0.9333333333333333
3,1,manhattan,0.6016678280300565,0.029987474832244034,0.9333333333333333
3,3,cosine,0.841522216796875,0.12500053171460687,0.9333333333333333
3,3,euclidean,0.7971339755588107,0.2294975291992844,0.9777777777777777
3,3,manhattan,0.7336616516113281,0.09977413689089179,0.9555555555555556
3,5,cosine,0.7170836130777994,0.05709456371883134,0.9333333333333333
3,5,euclidean,0.8793671925862631,0.27498173653605523,0.9555555555555556
3,5,manhattan,0.648090574476454,0.0400091608653211,0.9555555555555556
3,10,cosine,0.6906774308946397,0.030349426948263925,0.9555555555555556
3,10,euclidean,0.6593280368381076,0.031959631926935225,1.0
3,10,manhattan,0.6783167521158854,0.10557352021710807,1.0
4,1,cosine,0.6868680318196615,0.03975795610720897,0.9777777777777777
4,1,euclidean,0.6717734866672092,0.05798622818293364,1.0
4,1,manhattan,0.6026903788248698,0.044351407977866845,1.0
4,3,cosine,0.6847699483235677,0.03227887723021149,0.9777777777777777
4,3,euclidean,0.6586869557698568,0.05089777013464511,1.0
4,3,manhattan,0.642749998304579,0.06933629921737759,1.0
4,5,cosine,0.6373882293701172,0.02321638788274252,1.0
4,5,euclidean,0.64493285285102,0.028118508154779256,1.0
4,5,manhattan,0.570588641696506,0.02382304190856336,1.0
4,10,cosine,1.3011614481608074,1.3227163839503484,1.0
4,10,euclidean,0.6218910217285156,0.029684806091617843,1.0
4,10,manhattan,0.5579418606228299,0.01744750242787557,0.9777777777777777
