n_points,dimension,k,distance,mean_time,std_time,accuracy
1000,100,1,cosine,2.8646159172058105,,0.15
1000,100,1,euclidean,4.002678394317627,,0.3
1000,100,5,cosine,2.837493419647217,,0.15
1000,100,5,euclidean,3.999612331390381,,0.1
1000,300,1,cosine,3.990051746368408,,0.65
1000,300,1,euclidean,4.465856552124023,,0.55
1000,300,5,cosine,3.9912843704223633,,0.7
1000,300,5,euclidean,4.491620063781738,,0.7
1000,784,1,cosine,4.164485931396484,,0.9
1000,784,1,euclidean,5.41107177734375,,0.9
1000,784,5,cosine,5.24125337600708,,0.9
1000,784,5,euclidean,5.264806747436523,,0.9
5000,100,1,cosine,16.382124423980713,,0.25
5000,100,1,euclidean,28.859431743621826,,0.2
5000,100,5,cosine,16.87398910522461,,0.2
5000,100,5,euclidean,20.67307949066162,,0.25
5000,300,1,cosine,34.21113967895508,,0.9
5000,300,1,euclidean,29.091222286224365,,0.55
5000,300,5,cosine,29.18476104736328,,0.85
5000,300,5,euclidean,36.2438178062439,,0.85
5000,784,1,cosine,30.731329917907715,,0.95
5000,784,1,euclidean,34.900639057159424,,0.95
5000,784,5,cosine,28.978557586669922,,0.95
5000,784,5,euclidean,33.58500957489014,,1.0
10000,100,1,cosine,36.28389835357666,,0.0
10000,100,1,euclidean,54.41647291183472,,0.15
10000,100,5,cosine,39.57233190536499,,0.2
10000,100,5,euclidean,53.82391929626465,,0.15
10000,300,1,cosine,53.05800199508667,,0.75
10000,300,1,euclidean,59.06858444213867,,0.8
10000,300,5,cosine,55.14864683151245,,0.85
10000,300,5,euclidean,54.404470920562744,,0.75
10000,784,1,cosine,48.65431308746338,,0.85
10000,784,1,euclidean,70.88302373886108,,0.95
10000,784,5,cosine,44.23494100570679,,1.0
10000,784,5,euclidean,56.617281436920166,,1.0
